iter	RMSE
762	27935.8623
763	27908.15774
764	27864.87942
765	27846.04305
766	27820.45599
767	27793.43988
768	27769.52458
769	27748.60293
770	27744.11453
771	27709.694
772	27668.48684
773	27655.60859
774	27623.27708
775	27614.22122
776	27604.36221
777	27571.88673
778	27566.98004
779	27535.76859
780	27519.402
781	27488.59658
782	27458.96381
783	27444.76998
784	27427.01947
785	27409.79692
786	27382.45581
787	27372.47013
788	27346.39341
789	27310.20551
790	27302.03044
791	27292.89518
792	27265.02504
793	27223.11736
794	27197.50306
795	27173.88118
796	27161.55735
797	27142.95273
798	27114.93914
799	27094.98632
800	27084.83453
801	27064.95855
802	27052.0477
803	27032.7313
804	27028.53019
805	26997.15135
806	26986.8932
807	26976.05153
808	26954.68875
809	26934.62872
810	26934.09195
811	26915.7012
812	26898.16362
813	26874.90132
814	26856.3831
815	26842.5442
816	26831.5257
817	26819.51797
818	26797.96798
819	26784.71954
820	26772.23636
821	26769.75273
822	26753.39441
823	26726.87417
824	26711.88689
825	26705.62554
826	26678.23298
827	26659.82246
828	26639.91559
829	26619.19574
830	26601.47389
831	26585.37082
832	26564.18967
833	26543.55677
834	26522.19973
835	26517.57705
836	26500.35733
837	26492.04606
838	26462.06273
839	26445.58502
840	26427.81543
841	26410.06018
842	26398.48208
843	26385.45893
844	26351.86954
845	26322.22142
846	26315.55095
847	26293.69642
848	26272.10819
849	26244.30653
850	26216.43119
851	26173.41892
852	26153.82966
853	26146.79011
854	26123.29651
855	26110.38796
856	26106.8194
857	26095.01421
858	26078.32958
859	26045.614
860	26037.68272
861	26012.73044
862	26004.42286
863	26004.02034
864	25979.13085
865	25961.18584
866	25940.55341
867	25931.52106
868	25919.39422
869	25883.24774
870	25851.51609
871	25834.93505
872	25822.28154
873	25806.32278
874	25793.49804
875	25772.4222
876	25768.32231
877	25741.75674
878	25730.17578
879	25720.05501
880	25719.07039
881	25715.13235
882	25705.49624
883	25693.00071
884	25682.45049
885	25670.26432
886	25647.95822
887	25638.8107
888	25624.00575
889	25616.83866
890	25600.89352
891	25594.00111
892	25572.39881
893	25569.6773
894	25544.4188
895	25512.50062
896	25499.19154
897	25486.00434
898	25459.13346
899	25454.67956
900	25443.00103
901	25414.06287
902	25401.05723
903	25388.16839
904	25380.94815
905	25364.50153
906	25352.41871
907	25347.16891
908	25331.1917
909	25306.53556
910	25289.40257
911	25269.89681
912	25252.54253
913	25241.42753
914	25236.43152
915	25225.37436
916	25195.74724
917	25191.97651
918	25178.78476
919	25165.0687
920	25146.01872
921	25144.54915
922	25133.32508
923	25120.97085
924	25092.63609
925	25076.30208
926	25046.21743
927	25026.01402
928	25007.97732
929	24986.84754
930	24975.03601
931	24944.8597
932	24924.99024
933	24915.34723
934	24903.28378
935	24897.6584
936	24888.34939
937	24862.41264
938	24839.78885
939	24813.57127
940	24775.87742
941	24766.02975
942	24759.00335
943	24749.18132
944	24740.72431
945	24704.39324
946	24683.57993
947	24672.75702
948	24655.80014
949	24650.05499
950	24618.1868
951	24609.14669
952	24603.92377
953	24590.49357
954	24571.04851
955	24564.99174
956	24551.10658
957	24534.30892
958	24519.29868
959	24505.49178
960	24497.26528
961	24492.12007
962	24473.83289
963	24447.86135
964	24428.57406
965	24403.88757
966	24393.32926
967	24383.85848
968	24364.97756
